
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado           PID
  UDP    [::]:55192             [2800:3f0:4001:808::200e]:443                  268
  UDP    [::]:55586             *:*                                    2412
  UDP    [::]:57301             [2001:4860:4860::8844]:443                  8232
  UDP    [::]:57960             [2803:f800:53::3]:443                  8232
  UDP    [::]:59020             [2800:3f0:4001:83a::2003]:443                  268
  UDP    [::]:59815             [2804:3b0:4001:3:face:b00c:3333:7020]:443                  268
  UDP    [::]:60620             [2a03:2880:f359:120:face:b00c:0:167]:443                  268
  UDP    [::]:61364             [2600:1901:1:365::]:443                  8232
  UDP    [::]:62222             *:*                                    2412
  UDP    [::]:64544             [2600:1901:1:7c5::]:443                  8232
  UDP    [::]:65105             *:*                                    2412
  UDP    [::1]:1900             *:*                                    4896
  UDP    [::1]:51219            *:*                                    4896
  UDP    [2804:5344:500b:ad00:4a38:50a8:2049:d5b0]:2177  *:*                                    16832
  UDP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:2177  *:*                                    16832
  UDP    [fe80::e8e1:34ee:19b0:6d99%13]:1900  *:*                                    4896
  UDP    [fe80::e8e1:34ee:19b0:6d99%13]:2177  *:*                                    16832
  UDP    [fe80::e8e1:34ee:19b0:6d99%13]:51218  *:*                                    4896
